Date,YSB,Temp,RH,RF
06-05-2018,0,30.25,66,0
07-05-2018,0,30.6,70,0
08-05-2018,0,31,71.5,0
09-05-2018,0,30.9,63.5,0
10-05-2018,0,31.55,68,0
11-05-2018,0,30.85,62.5,0
12-05-2018,0,31.25,67.5,0
13-05-2018,0,31.5,71,0
14-05-2018,0,26.25,72.5,35
15-05-2018,0,28.75,62.5,0
16-05-2018,0,30.7,76,42
17-05-2018,0,28.5,74.5,0
18-05-2018,0,31.25,77.5,0
19-05-2018,0,30.3,70,0
20-05-2018,0,30.95,72.5,0
21-05-2018,0,31.65,64,23
22-05-2018,0,31.5,72,0
23-05-2018,0,26.1,77.5,0
24-05-2018,0,29.75,74.5,0
25-05-2018,0,30.6,79.5,0
26-05-2018,0,30.25,68.5,0
27-05-2018,0,31,70,0
28-05-2018,0,31.15,65,0
29-05-2018,0,32,75.5,0
30-05-2018,0,31.5,89,0
31-05-2018,0,32.05,78.5,0
01-06-2018,0,30,74.5,0
02-06-2018,0,29.95,78.5,0
03-06-2018,0,31.05,74,0
04-06-2018,0,30.6,80,0
05-06-2018,0,31,83.5,0
06-06-2018,0,29.5,74.5,0
07-06-2018,0,31,76,0
08-06-2018,0,30.5,77,0
09-06-2018,0,31.25,96,0
10-06-2018,0,30.45,78.5,0
11-06-2018,0,31.6,82,0
12-06-2018,0,23,75.5,51
13-06-2018,0,26,87,0
14-06-2018,0,30.75,92,0
15-06-2018,0,30.75,92.5,0
16-06-2018,0,33.1,84.5,0
17-06-2018,0,33.5,79,0
18-06-2018,0,27.95,84.5,0
19-06-2018,0,33.65,95,0
20-06-2018,0,34.75,77.5,0
21-06-2018,0,26,83,20
22-06-2018,0,30,82.5,0
23-06-2018,0,31.05,93.5,0
24-06-2018,0,33.85,97.5,0
25-06-2018,0,24.55,75,59
26-06-2018,0,24.75,76,60
27-06-2018,0,23.5,84.5,0
28-06-2018,0,24.1,92.5,0
29-06-2018,0,27.5,82.5,0
30-06-2018,0,27.2,84.5,0
01-07-2018,0,29.5,80,0
02-07-2018,0,29.25,89,0
03-07-2018,0,28.65,88,0
04-07-2018,0,28.5,92.5,0
05-07-2018,0,28,91.5,0
06-07-2018,0,29,91,0
07-07-2018,0,27.65,82,16
08-07-2018,0,30,94,0
09-07-2018,0,29.6,87.5,0
10-07-2018,0,30,80.5,0
11-07-2018,0,29.55,82.5,0
12-07-2018,0,28.5,79,5
13-07-2018,0,29.7,91,30
14-07-2018,0,28.9,89.5,15
15-07-2018,0,29.5,96.5,0
16-07-2018,0,26,88,33
17-07-2018,0,25,84.5,23
18-07-2018,0,25.6,92,26
19-07-2018,0,28.5,85,0
20-07-2018,0,26.6,92.5,0
21-07-2018,0,26.5,93.5,80
22-07-2018,0,25.9,92.5,25
